Name,Team,Type,National Side,Born,Age,Bowling,Batting Style,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramandeep Singh,MI,All-Rounder ,India,"April 13, 1997 Chandigarh","24 Years, 11 Months, 2 Days",Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anmolpreet Singh,MI,Batsman ,India,"March 28, 1998 Patiala, Punjab","23 Years, 11 Months, 18 Days",Off break,Right Handed,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aryan Juyal,MI,Wicket-Keeper ,India,"November 11, 2001 Moradabad, Uttar Pradesh","20 Years, 4 Months, 4 Days",,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshad Khan,MI,All-Rounder ,India,"December 20, 1997 Gopalganj","24 Years, 2 Months, 26 Days",Left-arm medium,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Buddhi,MI,Batsman ,India,"September 20, 1997 Hyderabad","24 Years, 5 Months, 25 Days",Off break,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hrithik Shokeen,MI,All-Rounder ,India,"August 14, 2000 Delhi","21 Years, 7 Months, 1 Days",Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravindra Jadeja,CSK,All-Rounder ,India,"December 6, 1988 Navagam-Khed, Saurashtra","33 Years, 3 Months, 9 Days",Slow left-arm orthodox,Left Handed,IPL,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepak Chahar,CSK,Bowler ,India,"August 7, 1992 Agra, Uttar Pradesh","29 Years, 7 Months, 8 Days",Right-arm medium,Right Handed,IPL,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni,CSK,Wicket-Keeper ,India,"July 7, 1981 Ranchi, Bihar (now Jharkhand)","40 Years, 8 Months, 8 Days",Right-arm medium,Right Handed,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moeen Ali,CSK,All-Rounder ,England,"June 18, 1987 Birmingham, Warwickshire","34 Years, 8 Months, 28 Days",Off break,Left Handed,IPL,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambati Rayudu,CSK,Wicket-Keeper ,India,"September 23, 1985 Guntur,Andhra Pradesh","36 Years, 5 Months, 22 Days",Off break,Right Handed,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruturaj Gaikwad,CSK,Batsman ,India,"January 31, 1997 Pune, Maharashtra","25 Years, 1 Months, 12 Days",Off break,Right Handed,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Bravo,CSK,All-Rounder ,West Indies,"October 7, 1983 Santa Cruz, Trinidad","38 Years, 5 Months, 9 Days",Right-arm medium,Right Handed,IPL,151,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivam Dube,CSK,All-Rounder ,India,"June 26, 1993 Mumbai","28 Years, 8 Months, 19 Days",Right-arm medium,Left Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Jordan,CSK,All-Rounder ,England,"October 4, 1988 Barbados","33 Years, 5 Months, 11 Days",Right-arm fast medium,Right Handed,IPL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Uthappa,CSK,Batsman ,India,"November 11, 1985 Coorg, Karnataka","36 Years, 4 Months, 4 Days",Right-arm medium,Right Handed,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
